key=True input=(0.00, -1.00) router=(0.00, -1.00) pos=(62.4000000000001,359.6) vel=(0,1) paused=False
key=True input=(0.00, -1.00) router=(0.00, -1.00) pos=(62.4000000000001,359.6) vel=(0,1) paused=False
key=True input=(0.00, -1.00) router=(0.00, -1.00) pos=(62.4000000000001,359.6) vel=(0,1) paused=False
key=True input=(0.00, -1.00) router=(0.00, -1.00) pos=(62.4000000000001,359.6) vel=(0,1) paused=False
key=True input=(0.00, -1.00) router=(0.00, -1.00) pos=(62.4000000000001,359.6) vel=(0,1) paused=False
key=True input=(0.00, -1.00) router=(0.00, -1.00) pos=(62.4000000000001,359.6) vel=(0,1) paused=False
key=True input=(0.00, -1.00) router=(0.00, -1.00) pos=(62.4000000000001,359.6) vel=(0,1) paused=False
key=True input=(0.00, -1.00) router=(0.00, -1.00) pos=(62.4000000000001,359.6) vel=(0,1) paused=False
key=True input=(0.00, -1.00) router=(0.00, -1.00) pos=(62.4000000000001,359.6) vel=(0,1) paused=False
key=True input=(0.00, -1.00) router=(0.00, -1.00) pos=(62.4000000000001,359.6) vel=(0,1) paused=False
key=True input=(0.00, -1.00) router=(0.00, -1.00) pos=(62.4000000000001,359.6) vel=(0,1) paused=False
key=True input=(0.00, -1.00) router=(0.00, -1.00) pos=(62.4000000000001,359.6) vel=(0,1) paused=False
