
> relight-prototype@0.1.0 city:validate
> tsx packages/harness/src/cityValidationCli.ts --seeds 1-32 --out docs/evidence/p9-01-2026-09-08/campaign

1: passed; 0 findings
2: passed; 0 findings
3: passed; 0 findings
4: passed; 0 findings
5: passed; 0 findings
6: failed; 1 findings
7: passed; 0 findings
8: passed; 0 findings
9: passed; 0 findings
10: passed; 0 findings
11: passed; 0 findings
12: passed; 0 findings
13: passed; 0 findings
14: passed; 0 findings
15: passed; 0 findings
16: passed; 0 findings
17: passed; 0 findings
18: passed; 0 findings
19: passed; 0 findings
20: passed; 0 findings
21: passed; 0 findings
22: passed; 0 findings
23: passed; 0 findings
24: passed; 0 findings
25: passed; 0 findings
26: passed; 0 findings
27: passed; 0 findings
28: passed; 0 findings
29: failed; 35 findings
30: passed; 0 findings
31: passed; 0 findings
32: passed; 0 findings
