
> relight-prototype@0.1.0 city:validate
> tsx packages/harness/src/cityValidationCli.ts --seeds 1-10000 --out docs/evidence/p9-04-2026-09-08/population --workers 12 --limit 96

1/10000: seed 3 passed; 0 findings; 6025 ms
2/10000: seed 7 passed; 0 findings; 6376 ms
3/10000: seed 9 passed; 0 findings; 6863 ms
4/10000: seed 8 passed; 0 findings; 7296 ms
5/10000: seed 5 passed; 0 findings; 7371 ms
6/10000: seed 2 passed; 0 findings; 7375 ms
7/10000: seed 4 passed; 0 findings; 7360 ms
8/10000: seed 10 passed; 0 findings; 7493 ms
9/10000: seed 1 passed; 0 findings; 7843 ms
10/10000: seed 12 passed; 0 findings; 7451 ms
11/10000: seed 6 passed; 0 findings; 8685 ms
12/10000: seed 11 passed; 0 findings; 9019 ms
13/10000: seed 15 passed; 0 findings; 4033 ms
14/10000: seed 14 passed; 0 findings; 5192 ms
15/10000: seed 20 passed; 0 findings; 3992 ms
16/10000: seed 13 passed; 0 findings; 6150 ms
17/10000: seed 21 passed; 0 findings; 4550 ms
18/10000: seed 19 passed; 0 findings; 4855 ms
19/10000: seed 16 passed; 0 findings; 5191 ms
20/10000: seed 23 passed; 0 findings; 5124 ms
21/10000: seed 24 passed; 0 findings; 4640 ms
22/10000: seed 17 passed; 0 findings; 6788 ms
23/10000: seed 22 passed; 0 findings; 6055 ms
24/10000: seed 25 passed; 0 findings; 4065 ms
25/10000: seed 28 passed; 0 findings; 3731 ms
26/10000: seed 18 passed; 0 findings; 8738 ms
27/10000: seed 26 passed; 0 findings; 4484 ms
28/10000: seed 27 passed; 0 findings; 5523 ms
29/10000: seed 29 passed; 0 findings; 5356 ms
30/10000: seed 32 passed; 0 findings; 4155 ms
31/10000: seed 30 passed; 0 findings; 5630 ms
32/10000: seed 36 passed; 0 findings; 3869 ms
33/10000: seed 31 passed; 0 findings; 6275 ms
34/10000: seed 34 passed; 0 findings; 4820 ms
35/10000: seed 33 passed; 0 findings; 5146 ms
36/10000: seed 35 passed; 0 findings; 4927 ms
37/10000: seed 39 passed; 0 findings; 3714 ms
38/10000: seed 38 passed; 0 findings; 4024 ms
39/10000: seed 37 passed; 0 findings; 4504 ms
40/10000: seed 42 passed; 0 findings; 4107 ms
41/10000: seed 40 passed; 0 findings; 4596 ms
42/10000: seed 41 passed; 0 findings; 4540 ms
43/10000: seed 43 passed; 0 findings; 4340 ms
44/10000: seed 44 passed; 0 findings; 3858 ms
45/10000: seed 47 passed; 0 findings; 3706 ms
46/10000: seed 45 passed; 0 findings; 4451 ms
47/10000: seed 46 passed; 0 findings; 4521 ms
48/10000: seed 48 passed; 0 findings; 4498 ms
49/10000: seed 49 passed; 0 findings; 3918 ms
50/10000: seed 51 passed; 0 findings; 3380 ms
51/10000: seed 50 passed; 0 findings; 4727 ms
52/10000: seed 54 passed; 0 findings; 3233 ms
53/10000: seed 52 passed; 0 findings; 3739 ms
54/10000: seed 55 passed; 0 findings; 3393 ms
55/10000: seed 57 passed; 0 findings; 3184 ms
56/10000: seed 53 passed; 0 findings; 3781 ms
57/10000: seed 56 passed; 0 findings; 3773 ms
58/10000: seed 58 passed; 0 findings; 3467 ms
59/10000: seed 59 passed; 0 findings; 3658 ms
60/10000: seed 61 passed; 0 findings; 3337 ms
61/10000: seed 62 passed; 0 findings; 3324 ms
62/10000: seed 60 passed; 0 findings; 3837 ms
63/10000: seed 63 passed; 0 findings; 3776 ms
64/10000: seed 67 passed; 0 findings; 3083 ms
65/10000: seed 66 passed; 0 findings; 3272 ms
66/10000: seed 68 passed; 0 findings; 3366 ms
67/10000: seed 64 passed; 0 findings; 3870 ms
68/10000: seed 69 passed; 0 findings; 3297 ms
69/10000: seed 65 passed; 0 findings; 4166 ms
70/10000: seed 70 passed; 0 findings; 3647 ms
71/10000: seed 71 passed; 0 findings; 3375 ms
72/10000: seed 80 failed; 1 findings; 1071 ms
73/10000: seed 72 passed; 0 findings; 3458 ms
74/10000: seed 73 passed; 0 findings; 3761 ms
75/10000: seed 74 passed; 0 findings; 3795 ms
76/10000: seed 75 passed; 0 findings; 3478 ms
77/10000: seed 76 passed; 0 findings; 3355 ms
78/10000: seed 78 passed; 0 findings; 3318 ms
79/10000: seed 77 passed; 0 findings; 3649 ms
80/10000: seed 88 failed; 1 findings; 1694 ms
81/10000: seed 83 passed; 0 findings; 3452 ms
82/10000: seed 81 passed; 0 findings; 4113 ms
83/10000: seed 85 passed; 0 findings; 3519 ms
84/10000: seed 84 passed; 0 findings; 3723 ms
85/10000: seed 79 passed; 0 findings; 5072 ms
86/10000: seed 82 passed; 0 findings; 4567 ms
87/10000: seed 87 passed; 0 findings; 3546 ms
88/10000: seed 86 passed; 0 findings; 4670 ms
89/10000: seed 89 passed; 0 findings; 3860 ms
90/10000: seed 90 passed; 0 findings; 3821 ms
91/10000: seed 91 passed; 0 findings; 3959 ms
92/10000: seed 93 passed; 0 findings; 2927 ms
93/10000: seed 96 passed; 0 findings; 2702 ms
94/10000: seed 92 passed; 0 findings; 3441 ms
95/10000: seed 95 passed; 0 findings; 3003 ms
96/10000: seed 94 passed; 0 findings; 3311 ms
population PARTIAL: 96/10000, 2 failed; source unchanged: true
