
> relight-prototype@0.1.0 city:validate
> tsx packages/harness/src/cityValidationCli.ts --seeds 1-10000 --out docs/evidence/p9-04r-2026-09-09/population --workers 12

1/10000: seed 12 passed; 0 findings; 6576 ms
2/10000: seed 10 passed; 0 findings; 6730 ms
3/10000: seed 3 passed; 0 findings; 6784 ms
4/10000: seed 2 passed; 0 findings; 6886 ms
5/10000: seed 5 passed; 0 findings; 7077 ms
6/10000: seed 7 passed; 0 findings; 7145 ms
7/10000: seed 9 passed; 0 findings; 7546 ms
8/10000: seed 4 passed; 0 findings; 7052 ms
9/10000: seed 8 passed; 0 findings; 7181 ms
10/10000: seed 1 passed; 0 findings; 7909 ms
11/10000: seed 6 passed; 0 findings; 8276 ms
12/10000: seed 11 passed; 0 findings; 9263 ms
13/10000: seed 15 passed; 0 findings; 3343 ms
14/10000: seed 13 passed; 0 findings; 4364 ms
15/10000: seed 14 passed; 0 findings; 4712 ms
16/10000: seed 23 passed; 0 findings; 3357 ms
17/10000: seed 16 passed; 0 findings; 4849 ms
18/10000: seed 20 passed; 0 findings; 4197 ms
19/10000: seed 21 passed; 0 findings; 4549 ms
20/10000: seed 19 passed; 0 findings; 4934 ms
21/10000: seed 22 passed; 0 findings; 4560 ms
22/10000: seed 25 passed; 0 findings; 3462 ms
23/10000: seed 17 passed; 0 findings; 7136 ms
24/10000: seed 18 passed; 0 findings; 7157 ms
25/10000: seed 24 passed; 0 findings; 4952 ms
26/10000: seed 26 passed; 0 findings; 3835 ms
27/10000: seed 28 passed; 0 findings; 3307 ms
28/10000: seed 27 passed; 0 findings; 5066 ms
29/10000: seed 32 passed; 0 findings; 4171 ms
30/10000: seed 31 passed; 0 findings; 5360 ms
31/10000: seed 33 passed; 0 findings; 5097 ms
32/10000: seed 29 passed; 0 findings; 5991 ms
33/10000: seed 38 passed; 0 findings; 3429 ms
34/10000: seed 35 passed; 0 findings; 4232 ms
35/10000: seed 30 passed; 0 findings; 6579 ms
36/10000: seed 34 passed; 0 findings; 5045 ms
37/10000: seed 36 passed; 0 findings; 4512 ms
38/10000: seed 37 passed; 0 findings; 4527 ms
39/10000: seed 39 passed; 0 findings; 4367 ms
40/10000: seed 40 passed; 0 findings; 4586 ms
41/10000: seed 41 passed; 0 findings; 4799 ms
42/10000: seed 44 passed; 0 findings; 3920 ms
43/10000: seed 42 passed; 0 findings; 4227 ms
44/10000: seed 49 passed; 0 findings; 3344 ms
45/10000: seed 50 passed; 0 findings; 3046 ms
46/10000: seed 51 passed; 0 findings; 2930 ms
47/10000: seed 47 passed; 0 findings; 3960 ms
48/10000: seed 48 passed; 0 findings; 3919 ms
49/10000: seed 43 passed; 0 findings; 4844 ms
50/10000: seed 46 passed; 0 findings; 4576 ms
51/10000: seed 45 passed; 0 findings; 5887 ms
52/10000: seed 53 passed; 0 findings; 2959 ms
53/10000: seed 52 passed; 0 findings; 3515 ms
54/10000: seed 54 passed; 0 findings; 3191 ms
55/10000: seed 55 passed; 0 findings; 3123 ms
56/10000: seed 57 passed; 0 findings; 3334 ms
57/10000: seed 58 passed; 0 findings; 3301 ms
58/10000: seed 61 passed; 0 findings; 3381 ms
59/10000: seed 59 passed; 0 findings; 3630 ms
60/10000: seed 60 passed; 0 findings; 3700 ms
61/10000: seed 62 passed; 0 findings; 3420 ms
62/10000: seed 56 passed; 0 findings; 4593 ms
63/10000: seed 64 passed; 0 findings; 3740 ms
64/10000: seed 66 passed; 0 findings; 3360 ms
65/10000: seed 67 passed; 0 findings; 3496 ms
66/10000: seed 63 passed; 0 findings; 4418 ms
67/10000: seed 65 passed; 0 findings; 4147 ms
68/10000: seed 69 passed; 0 findings; 3374 ms
69/10000: seed 68 passed; 0 findings; 3737 ms
70/10000: seed 70 passed; 0 findings; 3645 ms
71/10000: seed 72 passed; 0 findings; 3443 ms
72/10000: seed 71 passed; 0 findings; 3627 ms
73/10000: seed 73 passed; 0 findings; 3751 ms
74/10000: seed 74 passed; 0 findings; 3859 ms
75/10000: seed 75 passed; 0 findings; 3294 ms
76/10000: seed 76 passed; 0 findings; 3383 ms
77/10000: seed 77 passed; 0 findings; 3299 ms
78/10000: seed 78 passed; 0 findings; 3580 ms
79/10000: seed 80 passed; 0 findings; 3301 ms
80/10000: seed 81 passed; 0 findings; 3175 ms
81/10000: seed 83 passed; 0 findings; 3045 ms
82/10000: seed 84 passed; 0 findings; 3193 ms
83/10000: seed 85 passed; 0 findings; 3381 ms
84/10000: seed 79 passed; 0 findings; 4818 ms
85/10000: seed 82 passed; 0 findings; 4462 ms
86/10000: seed 87 passed; 0 findings; 3478 ms
87/10000: seed 88 passed; 0 findings; 4015 ms
88/10000: seed 86 passed; 0 findings; 5071 ms
89/10000: seed 89 passed; 0 findings; 3718 ms
90/10000: seed 93 passed; 0 findings; 3561 ms
91/10000: seed 91 passed; 0 findings; 3974 ms
92/10000: seed 90 passed; 0 findings; 4236 ms
93/10000: seed 92 passed; 0 findings; 4600 ms
94/10000: seed 95 passed; 0 findings; 3619 ms
95/10000: seed 94 passed; 0 findings; 4468 ms
96/10000: seed 96 passed; 0 findings; 3839 ms
97/10000: seed 97 passed; 0 findings; 3874 ms
98/10000: seed 98 passed; 0 findings; 3630 ms
99/10000: seed 100 passed; 0 findings; 3699 ms
100/10000: seed 99 passed; 0 findings; 3731 ms
101/10000: seed 101 passed; 0 findings; 3974 ms
102/10000: seed 102 passed; 0 findings; 3363 ms
103/10000: seed 104 passed; 0 findings; 3171 ms
104/10000: seed 103 passed; 0 findings; 3379 ms
105/10000: seed 106 passed; 0 findings; 3214 ms
106/10000: seed 105 passed; 0 findings; 3835 ms
107/10000: seed 107 passed; 0 findings; 3454 ms
108/10000: seed 108 passed; 0 findings; 3626 ms
109/10000: seed 109 passed; 0 findings; 3581 ms
110/10000: seed 110 passed; 0 findings; 3835 ms
111/10000: seed 112 passed; 0 findings; 3596 ms
112/10000: seed 115 passed; 0 findings; 3322 ms
113/10000: seed 111 passed; 0 findings; 3875 ms
114/10000: seed 116 passed; 0 findings; 3550 ms
115/10000: seed 114 passed; 0 findings; 3728 ms
116/10000: seed 117 passed; 0 findings; 3385 ms
117/10000: seed 118 passed; 0 findings; 3264 ms
118/10000: seed 113 passed; 0 findings; 4619 ms
119/10000: seed 119 passed; 0 findings; 3442 ms
120/10000: seed 120 passed; 0 findings; 3286 ms
121/10000: seed 121 passed; 0 findings; 3060 ms
122/10000: seed 123 passed; 0 findings; 3161 ms
123/10000: seed 122 passed; 0 findings; 3981 ms
124/10000: seed 124 passed; 0 findings; 3425 ms
125/10000: seed 126 passed; 0 findings; 3379 ms
126/10000: seed 125 passed; 0 findings; 3562 ms
127/10000: seed 127 passed; 0 findings; 3495 ms
128/10000: seed 128 passed; 0 findings; 3615 ms
129/10000: seed 131 passed; 0 findings; 3141 ms
130/10000: seed 130 passed; 0 findings; 3318 ms
131/10000: seed 129 passed; 0 findings; 3425 ms
132/10000: seed 133 passed; 0 findings; 3304 ms
133/10000: seed 132 passed; 0 findings; 3774 ms
134/10000: seed 136 passed; 0 findings; 3120 ms
135/10000: seed 139 passed; 0 findings; 2858 ms
136/10000: seed 134 passed; 0 findings; 4010 ms
137/10000: seed 135 passed; 0 findings; 3953 ms
138/10000: seed 138 passed; 0 findings; 3445 ms
139/10000: seed 137 passed; 0 findings; 3885 ms
140/10000: seed 140 passed; 0 findings; 3205 ms
141/10000: seed 143 passed; 0 findings; 3091 ms
142/10000: seed 145 passed; 0 findings; 3134 ms
143/10000: seed 141 passed; 0 findings; 4133 ms
144/10000: seed 144 passed; 0 findings; 3870 ms
145/10000: seed 142 passed; 0 findings; 4224 ms
146/10000: seed 146 passed; 0 findings; 2887 ms
147/10000: seed 147 passed; 0 findings; 3137 ms
148/10000: seed 149 passed; 0 findings; 2994 ms
149/10000: seed 148 passed; 0 findings; 3082 ms
150/10000: seed 150 passed; 0 findings; 3106 ms
151/10000: seed 153 passed; 0 findings; 2930 ms
152/10000: seed 151 passed; 0 findings; 3505 ms
153/10000: seed 152 passed; 0 findings; 3586 ms
154/10000: seed 155 passed; 0 findings; 2958 ms
155/10000: seed 154 passed; 0 findings; 3373 ms
156/10000: seed 157 passed; 0 findings; 3478 ms
157/10000: seed 156 passed; 0 findings; 3519 ms
158/10000: seed 158 passed; 0 findings; 2923 ms
159/10000: seed 161 passed; 0 findings; 3110 ms
160/10000: seed 162 passed; 0 findings; 3012 ms
161/10000: seed 159 passed; 0 findings; 3454 ms
162/10000: seed 163 passed; 0 findings; 2979 ms
163/10000: seed 160 passed; 0 findings; 3314 ms
164/10000: seed 165 passed; 0 findings; 2845 ms
165/10000: seed 164 passed; 0 findings; 3083 ms
166/10000: seed 166 passed; 0 findings; 3026 ms
167/10000: seed 167 passed; 0 findings; 2962 ms
168/10000: seed 169 passed; 0 findings; 3279 ms
169/10000: seed 168 passed; 0 findings; 3432 ms
170/10000: seed 170 passed; 0 findings; 3192 ms
171/10000: seed 175 passed; 0 findings; 2894 ms
172/10000: seed 172 passed; 0 findings; 3031 ms
173/10000: seed 174 passed; 0 findings; 3000 ms
174/10000: seed 173 passed; 0 findings; 3517 ms
175/10000: seed 177 passed; 0 findings; 2995 ms
176/10000: seed 171 passed; 0 findings; 3933 ms
177/10000: seed 176 passed; 0 findings; 3334 ms
178/10000: seed 178 passed; 0 findings; 3240 ms
179/10000: seed 179 passed; 0 findings; 3184 ms
180/10000: seed 180 passed; 0 findings; 3083 ms
181/10000: seed 182 passed; 0 findings; 3066 ms
182/10000: seed 181 passed; 0 findings; 3241 ms
183/10000: seed 184 passed; 0 findings; 3153 ms
184/10000: seed 183 passed; 0 findings; 3450 ms
185/10000: seed 185 passed; 0 findings; 3899 ms
186/10000: seed 188 passed; 0 findings; 3262 ms
187/10000: seed 186 passed; 0 findings; 3641 ms
188/10000: seed 187 passed; 0 findings; 3415 ms
