state  spawn 35.5 125.5 machines 385
reload true 
home-workshop true 1
foreman-shelter true 23
westridge-garden true 53
westridge-rowan true 57
westridge-ash true 53
oldtown-orchard true 103
oldtown-courtyard true 136
oldtown-mews true 130
salvage-workshop true 66
concrete-shelter true 92
riverside-pump true 66
ironworks-hall true 123
ironworks-gunsmith true 151
railcrew-depot true 173
civic-utility true 238
lamplighter-house true 215
freight-stronghold true 97
quarry-stronghold true 277
wharf-stronghold true 296
quarry-cache true 260
wharf-cache true 269
track-blocked []
